RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
217,808,Lake County,County,CA,CA,6,33,255071.0,255008.0,253999.0,252542.0,251934.0,252505.0,254117.0,255828.0,257269.0,257712.0,257791.0,257581.0,single family
1426,820,Tehama County,County,CA,CA,6,103,219725.0,220385.0,222464.0,225435.0,227851.0,229246.0,229892.0,231182.0,232503.0,233899.0,234810.0,235674.0,single family
2584,904,Tuolumne County,County,CA,CA,6,109,300211.0,301615.0,303329.0,304827.0,305281.0,305340.0,304853.0,303496.0,302204.0,301186.0,300729.0,300474.0,single family
3020,907,San Benito County,County,CA,CA,6,69,647271.0,638119.0,633778.0,637469.0,642423.0,644802.0,646167.0,644397.0,644305.0,640892.0,640517.0,641702.0,single family
2643,1055,Calaveras County,County,CA,CA,6,9,323534.0,325524.0,326835.0,326665.0,326869.0,328336.0,329213.0,329658.0,330250.0,331752.0,332542.0,333023.0,single family
2548,1069,Siskiyou County,County,CA,CA,6,93,212375.0,212637.0,213075.0,213535.0,214107.0,214777.0,214749.0,214671.0,214335.0,214694.0,214735.0,214832.0,single family
829,1214,Amador County,County,CA,CA,6,5,337504.0,337830.0,337851.0,338298.0,338882.0,339430.0,340149.0,340949.0,341950.0,342457.0,342379.0,342150.0,single family
1143,1301,Lassen County,County,CA,CA,6,35,172687.0,172572.0,172334.0,172473.0,172965.0,173541.0,173785.0,173941.0,174302.0,174592.0,174527.0,174302.0,single family
2678,1469,Del Norte County,County,CA,CA,6,15,302026.0,303492.0,304697.0,306041.0,306226.0,306557.0,306938.0,307754.0,310467.0,312052.0,313369.0,313030.0,single family
524,1491,Glenn County,County,CA,CA,6,21,235612.0,236226.0,236622.0,237721.0,238891.0,240218.0,240421.0,240441.0,240419.0,241356.0,241985.0,242305.0,single family
952,1765,Colusa County,County,CA,CA,6,11,239938.0,241350.0,242611.0,243364.0,244260.0,245346.0,244920.0,244073.0,243239.0,244195.0,244755.0,245054.0,single family
1329,1837,Plumas County,County,CA,CA,6,63,276769.0,277395.0,278349.0,278948.0,279801.0,280644.0,280076.0,278965.0,277797.0,278054.0,278085.0,278067.0,single family
188,1895,Inyo County,County,CA,CA,6,27,357298.0,358315.0,359009.0,359963.0,361686.0,364230.0,362298.0,359569.0,356743.0,357733.0,358063.0,357588.0,single family
2403,1911,Mariposa County,County,CA,CA,6,43,297819.0,297876.0,298108.0,298597.0,299626.0,300807.0,300456.0,300114.0,299776.0,300683.0,300799.0,300882.0,single family
253,2158,Mono County,County,CA,CA,6,51,587184.0,587183.0,587192.0,588323.0,589242.0,590880.0,590592.0,591409.0,591669.0,594158.0,594883.0,595402.0,single family
2056,2200,Trinity County,County,CA,CA,6,105,278926.0,278823.0,278641.0,278778.0,279066.0,279770.0,279107.0,278770.0,278310.0,279364.0,279798.0,280055.0,single family
647,2460,Modoc County,County,CA,CA,6,49,136761.0,137003.0,137262.0,137629.0,138045.0,138160.0,137887.0,137209.0,136681.0,136585.0,136564.0,136409.0,single family
1391,2957,Sierra County,County,CA,CA,6,91,250125.0,251715.0,251358.0,251293.0,250956.0,250795.0,250737.0,251751.0,254484.0,254801.0,255320.0,253469.0,single family
828,3098,Alpine County,County,CA,CA,6,3,439978.0,440631.0,440382.0,439992.0,440548.0,440834.0,439001.0,436972.0,435093.0,436224.0,436980.0,437498.0,single family
3101,0,Los Angeles County,County,CA,CA,6,37,460777.0,458867.0,457286.0,456708.0,459074.0,462353.0,462605.0,462069.0,461952.0,463809.0,464694.0,466263.0,1_bedroom.csv
2841,4,San Diego County,County,CA,CA,6,73,338496.0,337287.0,336677.0,338473.0,340080.0,342474.0,344508.0,345592.0,345582.0,345479.0,346435.0,347957.0,1_bedroom.csv
1286,5,Orange County,County,CA,CA,6,59,371800.0,370194.0,368596.0,367901.0,369035.0,370180.0,371328.0,371000.0,372192.0,372436.0,372997.0,373053.0,1_bedroom.csv
2832,10,Riverside County,County,CA,CA,6,65,187150.0,188252.0,189653.0,190561.0,191502.0,192391.0,193537.0,194540.0,195187.0,195985.0,196376.0,197559.0,1_bedroom.csv
3250,11,San Bernardino County,County,CA,CA,6,71,175053.0,175908.0,176837.0,177560.0,179454.0,180887.0,181885.0,182030.0,182433.0,182875.0,183627.0,184029.0,1_bedroom.csv
3136,16,Santa Clara County,County,CA,CA,6,85,598978.0,588176.0,580305.0,578346.0,575688.0,571002.0,563936.0,558605.0,559733.0,560637.0,562950.0,564983.0,1_bedroom.csv
